dataset_id,site_type,parameter,value_m,basis
BRBEO-1,offshore,hub_m,105.0,recorded_equipment
BURBW-1,offshore,hub_m,83.5,recorded_equipment
Belwind Phase 1,offshore,hub_m,72.0,recorded_equipment
Belwind Phase 1,offshore,hub_m,100.0,recorded_equipment
DK_KF_AB_GU,offshore,hub_m,107.0,recorded_equipment
GRGBW-1,offshore,hub_m,78.0,recorded_equipment
GRGBW-2,offshore,hub_m,78.0,recorded_equipment
GRGBW-3,offshore,hub_m,78.0,recorded_equipment
Horns Rev A,offshore,hub_m,70.0,recorded_equipment
Horns Rev B,offshore,hub_m,68.0,recorded_equipment
Horns Rev C,offshore,hub_m,105.0,recorded_equipment
LARYO-1,offshore,hub_m,87.0,recorded_equipment
Roedsand 1,offshore,hub_m,69.0,recorded_equipment
Roedsand 2,offshore,hub_m,68.5,recorded_equipment
Thorntonbank - C-Power - Area SW,offshore,hub_m,94.0,recorded_equipment
WLNYW-1,offshore,hub_m,83.5,recorded_equipment
BALDHWF1,onshore,hub_m,80.0,recorded_equipment
BLUFF1,onshore,hub_m,60.0,recorded_equipment
BOCORWF1,onshore,hub_m,80.0,recorded_equipment
BRDUW-1,onshore,hub_m,60.0,recorded_equipment
BRYBW-1,onshore,hub_m,69.0,recorded_equipment
CAPTL_WF,onshore,hub_m,80.0,recorded_equipment
CATHROCK,onshore,hub_m,60.0,recorded_equipment
CHALLHWF,onshore,hub_m,68.0,recorded_equipment
CLDNW-1,onshore,hub_m,80.0,recorded_equipment
CLDSW-1,onshore,hub_m,80.0,recorded_equipment
CLEMGPWF,onshore,hub_m,79.0,recorded_equipment
CNUNDAWF,onshore,hub_m,67.0,recorded_equipment
CULLRGWF,onshore,hub_m,80.0,recorded_equipment
GULLRWF1,onshore,hub_m,80.0,recorded_equipment
GULLRWF1,onshore,hub_m,85.0,recorded_equipment
GUNNING1,onshore,hub_m,80.0,recorded_equipment
HALLWF1,onshore,hub_m,80.0,recorded_equipment
LKBONNY1,onshore,hub_m,60.0,recorded_equipment
LKBONNY2,onshore,hub_m,80.0,recorded_equipment
LKBONNY3,onshore,hub_m,80.0,recorded_equipment
MINSW-1,onshore,hub_m,73.5,recorded_equipment
SNOWNTH1,onshore,hub_m,80.0,recorded_equipment
SNOWSTH1,onshore,hub_m,80.0,recorded_equipment
SNOWTWN1,onshore,hub_m,80.0,recorded_equipment
STARHLWF,onshore,hub_m,68.0,recorded_equipment
WATERLWF,onshore,hub_m,80.0,recorded_equipment
WATERLWF,onshore,hub_m,91.5,recorded_equipment
